Symbol,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
NFLX,1,0,0,0,0,0,0,0,0,0,0
NWL,0,1,0,0,0,0,0,0,0,0,0
NEM,0,0,0,0,0,0,0,0,1,0,0
NWSA,1,0,0,0,0,0,0,0,0,0,0
NWS,1,0,0,0,0,0,0,0,0,0,0
NEE,0,0,0,0,0,0,0,0,0,0,1
NKE,0,1,0,0,0,0,0,0,0,0,0
NI,0,0,0,0,0,0,0,0,0,0,1
NDSN,0,0,0,0,0,0,1,0,0,0,0
NSC,0,0,0,0,0,0,1,0,0,0,0
NTRS,0,0,0,0,1,0,0,0,0,0,0
NOC,0,0,0,0,0,0,1,0,0,0,0
NCLH,0,1,0,0,0,0,0,0,0,0,0
NRG,0,0,0,0,0,0,0,0,0,0,1
NUE,0,0,0,0,0,0,0,0,1,0,0
NVDA,0,0,0,0,0,0,0,1,0,0,0
NVR,0,1,0,0,0,0,0,0,0,0,0
NXPI,0,0,0,0,0,0,0,1,0,0,0
ORLY,0,1,0,0,0,0,0,0,0,0,0
OXY,0,0,0,1,0,0,0,0,0,0,0
ODFL,0,0,0,0,0,0,1,0,0,0,0
OMC,1,0,0,0,0,0,0,0,0,0,0
ON,0,0,0,0,0,0,0,1,0,0,0
OKE,0,0,0,1,0,0,0,0,0,0,0
ORCL,0,0,0,0,0,0,0,1,0,0,0
PCAR,0,0,0,0,0,0,1,0,0,0,0
PKG,0,0,0,0,0,0,0,0,1,0,0
PARA,1,0,0,0,0,0,0,0,0,0,0
PH,0,0,0,0,0,0,1,0,0,0,0
PAYX,0,0,0,0,0,0,0,1,0,0,0
PAYC,0,0,0,0,0,0,0,1,0,0,0
PNR,0,0,0,0,0,0,1,0,0,0,0
PEP,0,0,1,0,0,0,0,0,0,0,0
PKI,0,0,0,0,0,1,0,0,0,0,0
PFE,0,0,0,0,0,1,0,0,0,0,0
PCG,0,0,0,0,0,0,0,0,0,0,1
PM,0,0,1,0,0,0,0,0,0,0,0
PSX,0,0,0,1,0,0,0,0,0,0,0
PNW,0,0,0,0,0,0,0,0,0,0,1
PXD,0,0,0,1,0,0,0,0,0,0,0
PNC,0,0,0,0,1,0,0,0,0,0,0
POOL,0,1,0,0,0,0,0,0,0,0,0
PPG,0,0,0,0,0,0,0,0,1,0,0
PPL,0,0,0,0,0,0,0,0,0,0,1
PFG,0,0,0,0,1,0,0,0,0,0,0
PG,0,0,1,0,0,0,0,0,0,0,0
PGR,0,0,0,0,1,0,0,0,0,0,0
PLD,0,0,0,0,0,0,0,0,0,1,0
PRU,0,0,0,0,1,0,0,0,0,0,0
PEG,0,0,0,0,0,0,0,0,0,0,1
PTC,0,0,0,0,0,0,0,1,0,0,0
PSA,0,0,0,0,0,0,0,0,0,1,0
PHM,0,1,0,0,0,0,0,0,0,0,0
PWR,0,0,0,0,0,0,1,0,0,0,0
QCOM,0,0,0,0,0,0,0,1,0,0,0
DGX,0,0,0,0,0,1,0,0,0,0,0
RL,0,1,0,0,0,0,0,0,0,0,0
RJF,0,0,0,0,1,0,0,0,0,0,0
RTX,0,0,0,0,0,0,1,0,0,0,0
O,0,0,0,0,0,0,0,0,0,1,0
REG,0,0,0,0,0,0,0,0,0,1,0
REGN,0,0,0,0,0,1,0,0,0,0,0
RF,0,0,0,0,1,0,0,0,0,0,0
RSG,0,0,0,0,0,0,1,0,0,0,0
RMD,0,0,0,0,0,1,0,0,0,0,0
RHI,0,0,0,0,0,0,1,0,0,0,0
ROK,0,0,0,0,0,0,1,0,0,0,0
ROL,0,0,0,0,0,0,1,0,0,0,0
ROP,0,0,0,0,0,0,0,1,0,0,0
